property_id,property_name,area,project,bedrooms,size_sqft,current_price_aed,dld_rental_area,unit_status,calc_version_rent,calc_version_yield,selected_rental_tier,comparable_count,projects_in_pool,annual_rent_estimate_aed,annual_rent_p25_aed,annual_rent_p75_aed,evidence_quality,investor_label,warnings,gross_rental_yield_pct,gross_yield_p25_pct,gross_yield_p75_pct
3407,Emerge Residences,Meydan City,Emerge Residences,1,684.0,1590000.0,Nad Al Shiba First,Ready,RENTAL_MARKET_RENT_V1_CANDIDATE,GROSS_RENTAL_YIELD_V1_CANDIDATE,R4,348,9,72000.0,64867.0,76800.0,BROADER,Estimated Area Rent,Based on broader area rental comparables. Individual building rents may differ materially.,4.53,4.08,4.83
3375,Mayas Geneva,Jumeirah village circle,Mayas Geneva,2,1712.0,1900000.0,Al Barsha South Fourth,Ready,RENTAL_MARKET_RENT_V1_CANDIDATE,GROSS_RENTAL_YIELD_V1_CANDIDATE,R2,6,1,139200.0,139200.0,144000.0,STRONGER,Estimated Project Rent,,7.33,7.33,7.58
6350,Q Gardens Boutique Residences,Arjan,Q Gardens Boutique Residences,2,1629.0,1500000.0,Al Barshaa South Third,Ready,RENTAL_MARKET_RENT_V1_CANDIDATE,GROSS_RENTAL_YIELD_V1_CANDIDATE,R2,8,1,134400.0,110880.0,136320.0,STRONGER,Estimated Project Rent,,8.96,7.39,9.09
2276,Park Lane by Heilbronn,Jumeirah village circle,Park Lane by Heilbronn,2,1163.0,2200000.0,Al Barsha South Fourth,Ready,RENTAL_MARKET_RENT_V1_CANDIDATE,GROSS_RENTAL_YIELD_V1_CANDIDATE,R2,8,1,110400.0,96000.0,129600.0,STRONGER,Estimated Project Rent,,5.02,4.36,5.89
6209,Concept 7 Residences,Jumeirah village circle,Concept 7 Residences,1,619.0,1000000.0,Al Barsha South Fourth,Ready,RENTAL_MARKET_RENT_V1_CANDIDATE,GROSS_RENTAL_YIELD_V1_CANDIDATE,R2,30,1,72000.0,67200.0,72000.0,STRONGER,Estimated Project Rent,,7.2,6.72,7.2
5073,Luma22,Jumeirah village circle,Luma22,0,577.0,700000.0,Al Barsha South Fourth,Ready,RENTAL_MARKET_RENT_V1_CANDIDATE,GROSS_RENTAL_YIELD_V1_CANDIDATE,R2,76,1,55680.0,48000.0,62400.0,STRONGER,Estimated Project Rent,,7.95,6.86,8.91
6695,Binghatti Amber,Jumeirah village circle,Binghatti Amber,0,455.0,720000.0,Al Barsha South Fourth,Ready,RENTAL_MARKET_RENT_V1_CANDIDATE,GROSS_RENTAL_YIELD_V1_CANDIDATE,R2,37,1,52800.0,52508.0,54720.0,STRONGER,Estimated Project Rent,,7.33,7.29,7.6
2460,Creek Gate Tower 2,Dubai Creek Harbour,Creek Gate Tower 2,1,721.0,1700000.0,Al Khairan First,Ready,RENTAL_MARKET_RENT_V1_CANDIDATE,GROSS_RENTAL_YIELD_V1_CANDIDATE,R4,4416,31,86400.0,80640.0,96000.0,BROADER,Estimated Area Rent,Based on broader area rental comparables. Individual building rents may differ materially.,5.08,4.74,5.65
7792,Luma21,Jumeirah village circle,Luma21,0,422.0,660000.0,Al Barsha South Fourth,Ready,RENTAL_MARKET_RENT_V1_CANDIDATE,GROSS_RENTAL_YIELD_V1_CANDIDATE,R2,61,1,49920.0,45120.0,55680.0,STRONGER,Estimated Project Rent,,7.56,6.84,8.44
7663,48 Parkside,Arjan,48 Parkside,3,1443.0,1922960.0,Al Barshaa South Third,Ready,RENTAL_MARKET_RENT_V1_CANDIDATE,GROSS_RENTAL_YIELD_V1_CANDIDATE,R4,1603,45,86592.0,73920.0,105600.0,BROADER,Estimated Area Rent,Based on broader area rental comparables. Individual building rents may differ materially.,4.5,3.84,5.49
2725,saba 2,Jumeirah Lake Towers,saba 2,1,950.0,90000.0,Al Thanyah Fifth,Ready,RENTAL_MARKET_RENT_V1_CANDIDATE,GROSS_RENTAL_YIELD_V1_CANDIDATE,R4,2488,31,84480.0,72000.0,100800.0,BROADER,Estimated Area Rent,Based on broader area rental comparables. Individual building rents may differ materially.,93.87,80.0,112.0
6540,The Autograph Residences,Jumeirah village circle,The Autograph Residences,2,1401.0,1900000.0,Al Barsha South Fourth,Ready,RENTAL_MARKET_RENT_V1_CANDIDATE,GROSS_RENTAL_YIELD_V1_CANDIDATE,R4,1634,180,86590.0,74880.0,110400.0,BROADER,Estimated Area Rent,Based on broader area rental comparables. Individual building rents may differ materially.,4.56,3.94,5.81
93,Marina Star,Dubai Marina,Marina Star,2,2463.0,807000.0,Marsa Dubai,Ready,RENTAL_MARKET_RENT_V1_CANDIDATE,GROSS_RENTAL_YIELD_V1_CANDIDATE,R4,1179,46,187200.0,158400.0,230400.0,BROADER,Estimated Area Rent,Based on broader area rental comparables. Individual building rents may differ materially.,23.2,19.63,28.55
6277,Binghatti Emerald,Jumeirah village circle,Binghatti Emerald,3,1378.0,1300000.0,Al Barsha South Fourth,Ready,RENTAL_MARKET_RENT_V1_CANDIDATE,GROSS_RENTAL_YIELD_V1_CANDIDATE,R2,13,1,100800.0,96000.0,105600.0,STRONGER,Estimated Project Rent,,7.75,7.38,8.12
6430,Beverly Boulevard,Arjan,Beverly Boulevard,2,1299.0,1300000.0,Al Barshaa South Third,Ready,RENTAL_MARKET_RENT_V1_CANDIDATE,GROSS_RENTAL_YIELD_V1_CANDIDATE,R4,2099,48,82555.0,68395.0,100800.0,BROADER,Estimated Area Rent,Based on broader area rental comparables. Individual building rents may differ materially.,6.35,5.26,7.75
1620,SLS Dubai Hotels and Residences,Downtown Dubai,SLS Dubai Hotels and Residences,2,1864.0,7462760.0,Burj Khalifa,Ready,RENTAL_MARKET_RENT_V1_CANDIDATE,GROSS_RENTAL_YIELD_V1_CANDIDATE,R4,2495,44,227520.0,172800.0,288000.0,BROADER,Estimated Area Rent,Based on broader area rental comparables. Individual building rents may differ materially.,3.05,2.32,3.86
422,Golf Edge,Emaar South,Golf Edge,3,1641.0,2500000.0,Madinat Al Mataar,Ready,RENTAL_MARKET_RENT_V1_CANDIDATE,GROSS_RENTAL_YIELD_V1_CANDIDATE,R4,542,15,91200.0,76800.0,110400.0,BROADER,Estimated Area Rent,Based on broader area rental comparables. Individual building rents may differ materially.,3.65,3.07,4.42
2838,Binghatti Rose,Jumeirah village circle,Binghatti Rose,3,1285.0,1550000.0,Al Barsha South Fourth,Ready,RENTAL_MARKET_RENT_V1_CANDIDATE,GROSS_RENTAL_YIELD_V1_CANDIDATE,R2,6,1,105600.0,101376.0,110400.0,STRONGER,Estimated Project Rent,,6.81,6.54,7.12
3843,Beverly Boulevard,Arjan,Beverly Boulevard,1,800.0,866000.0,Al Barshaa South Third,Ready,RENTAL_MARKET_RENT_V1_CANDIDATE,GROSS_RENTAL_YIELD_V1_CANDIDATE,R2,25,1,81600.0,77760.0,86400.0,STRONGER,Estimated Project Rent,,9.42,8.98,9.98
453,Aykon City Tower,Business Bay,Aykon City Tower,3,1301.0,2600000.0,Business Bay,Ready,RENTAL_MARKET_RENT_V1_CANDIDATE,GROSS_RENTAL_YIELD_V1_CANDIDATE,R4,2909,81,115200.0,100624.0,139199.0,BROADER,Estimated Area Rent,Based on broader area rental comparables. Individual building rents may differ materially.,4.43,3.87,5.35
8066,The 100,Meydan City,The 100,4,4292.0,14580000.0,Nad Al Shiba First,Ready,RENTAL_MARKET_RENT_V1_CANDIDATE,GROSS_RENTAL_YIELD_V1_CANDIDATE,R4,7,1,240000.0,158400.0,240000.0,BROADER,Estimated Area Rent,Based on broader area rental comparables. Individual building rents may differ materially.,1.65,1.09,1.65
6835,LIV Residence,Dubai Marina,LIV Residence,3,1764.0,5500000.0,Marsa Dubai,Ready,RENTAL_MARKET_RENT_V1_CANDIDATE,GROSS_RENTAL_YIELD_V1_CANDIDATE,R2,14,1,177600.0,163200.0,187200.0,STRONGER,Estimated Project Rent,,3.23,2.97,3.4
8201,Marquise Square,Business Bay,Marquise Square,3,2326.0,4300000.0,Business Bay,Ready,RENTAL_MARKET_RENT_V1_CANDIDATE,GROSS_RENTAL_YIELD_V1_CANDIDATE,R4,834,44,163200.0,143109.0,192004.0,BROADER,Estimated Area Rent,Based on broader area rental comparables. Individual building rents may differ materially.,3.8,3.33,4.47
1913,Creek Beach Orchid,Dubai Creek Harbour,Creek Beach Orchid,3,1514.0,2500000.0,Al Khairan First,Ready,RENTAL_MARKET_RENT_V1_CANDIDATE,GROSS_RENTAL_YIELD_V1_CANDIDATE,R2,205,1,163200.0,144000.0,180480.0,STRONGER,Estimated Project Rent,,6.53,5.76,7.22
601,Aura Residences,Jumeirah village circle,Aura Residences,2,1107.0,1950000.0,Al Barsha South Fourth,Ready,RENTAL_MARKET_RENT_V1_CANDIDATE,GROSS_RENTAL_YIELD_V1_CANDIDATE,R4,3368,206,72000.0,62400.0,81600.0,BROADER,Estimated Area Rent,Based on broader area rental comparables. Individual building rents may differ materially.,3.69,3.2,4.18
1111,Oxford Gardens,Arjan,Oxford Gardens,1,824.0,843000.0,Al Barshaa South Third,Ready,RENTAL_MARKET_RENT_V1_CANDIDATE,GROSS_RENTAL_YIELD_V1_CANDIDATE,R2,44,1,92160.0,89280.0,96000.0,STRONGER,Estimated Project Rent,,10.93,10.59,11.39
5113,SLS Dubai Hotels and Residences,Downtown Dubai,SLS Dubai Hotels and Residences,1,1163.0,3465820.0,Burj Khalifa,Ready,RENTAL_MARKET_RENT_V1_CANDIDATE,GROSS_RENTAL_YIELD_V1_CANDIDATE,R4,4721,46,165600.0,129600.0,203766.0,BROADER,Estimated Area Rent,Based on broader area rental comparables. Individual building rents may differ materially.,4.78,3.74,5.88
1637,Oxford Gardens,Arjan,Oxford Gardens,2,413.0,1400000.0,Al Barshaa South Third,Ready,RENTAL_MARKET_RENT_V1_CANDIDATE,GROSS_RENTAL_YIELD_V1_CANDIDATE,R2,71,1,57600.0,52658.0,62400.0,STRONGER,Estimated Project Rent,,4.11,3.76,4.46
6594,Creek Beach Orchid,Dubai Creek Harbour,Creek Beach Orchid,1,679.0,1700000.0,Al Khairan First,Ready,RENTAL_MARKET_RENT_V1_CANDIDATE,GROSS_RENTAL_YIELD_V1_CANDIDATE,R2,405,1,88320.0,81600.0,100800.0,STRONGER,Estimated Project Rent,,5.2,4.8,5.93
7916,Divine Living,Arjan,Divine Living,3,2037.0,1700000.0,Al Barshaa South Third,Ready,RENTAL_MARKET_RENT_V1_CANDIDATE,GROSS_RENTAL_YIELD_V1_CANDIDATE,R4,191,16,115200.0,86400.0,144000.0,BROADER,Estimated Area Rent,Based on broader area rental comparables. Individual building rents may differ materially.,6.78,5.08,8.47
7020,Canal Front Residences,Dubai Water Canal,Canal Front Residences,3,1762.0,5200000.0,Burj Khalifa,Ready,RENTAL_MARKET_RENT_V1_CANDIDATE,GROSS_RENTAL_YIELD_V1_CANDIDATE,R4,2793,46,216000.0,168000.0,288000.0,BROADER,Estimated Area Rent,Based on broader area rental comparables. Individual building rents may differ materially.,4.15,3.23,5.54
897,creek edge,Dubai Creek Harbour,creek edge,3,1591.0,2800000.0,Al Khairan First,Ready,RENTAL_MARKET_RENT_V1_CANDIDATE,GROSS_RENTAL_YIELD_V1_CANDIDATE,R2,15,1,211680.0,191520.0,230400.0,STRONGER,Estimated Project Rent,,7.56,6.84,8.23
2398,Binghatti Gardenia,Jumeirah village circle,Binghatti Gardenia,3,1109.0,1750000.0,Al Barsha South Fourth,Ready,RENTAL_MARKET_RENT_V1_CANDIDATE,GROSS_RENTAL_YIELD_V1_CANDIDATE,R2,13,1,105600.0,100800.0,115200.0,STRONGER,Estimated Project Rent,,6.03,5.76,6.58
2730,Luma21,Jumeirah village circle,Luma21,2,1144.0,1200000.0,Al Barsha South Fourth,Ready,RENTAL_MARKET_RENT_V1_CANDIDATE,GROSS_RENTAL_YIELD_V1_CANDIDATE,R2,7,1,112320.0,86400.0,134400.0,STRONGER,Estimated Project Rent,,9.36,7.2,11.2
7464,Plaza Residences 1,Jumeirah village circle,Plaza Residences 1,2,1209.0,1020000.0,Al Barsha South Fourth,Ready,RENTAL_MARKET_RENT_V1_CANDIDATE,GROSS_RENTAL_YIELD_V1_CANDIDATE,R4,2431,198,78720.0,67200.0,96000.0,BROADER,Estimated Area Rent,Based on broader area rental comparables. Individual building rents may differ materially.,7.72,6.59,9.41
4547,Gardenia Residency,Jumeirah village circle,Gardenia Residency,1,1379.0,1050000.0,Al Barsha South Fourth,Ready,RENTAL_MARKET_RENT_V1_CANDIDATE,GROSS_RENTAL_YIELD_V1_CANDIDATE,R4,1679,182,86400.0,74088.0,105600.0,BROADER,Estimated Area Rent,Based on broader area rental comparables. Individual building rents may differ materially.,8.23,7.06,10.06
5009,Divine Living,Arjan,Divine Living,1,739.0,796000.0,Al Barshaa South Third,Ready,RENTAL_MARKET_RENT_V1_CANDIDATE,GROSS_RENTAL_YIELD_V1_CANDIDATE,R2,18,1,76800.0,73920.0,81600.0,STRONGER,Estimated Project Rent,,9.65,9.29,10.25
1146,SLS Dubai Hotels and Residences,Downtown Dubai,SLS Dubai Hotels and Residences,1,1084.0,3955410.0,Burj Khalifa,Ready,RENTAL_MARKET_RENT_V1_CANDIDATE,GROSS_RENTAL_YIELD_V1_CANDIDATE,R4,4728,45,154028.0,120000.0,192000.0,BROADER,Estimated Area Rent,Based on broader area rental comparables. Individual building rents may differ materially.,3.89,3.03,4.85
7278,Canal Front Residences,Dubai Water Canal,Canal Front Residences,1,913.0,2200000.0,Burj Khalifa,Ready,RENTAL_MARKET_RENT_V1_CANDIDATE,GROSS_RENTAL_YIELD_V1_CANDIDATE,R4,4108,46,120000.0,105600.0,148176.0,BROADER,Estimated Area Rent,Based on broader area rental comparables. Individual building rents may differ materially.,5.45,4.8,6.74
365,Beverly Residence 2,Jumeirah village circle,Beverly Residence 2,0,460.0,609000.0,Al Barsha South Fourth,Ready,RENTAL_MARKET_RENT_V1_CANDIDATE,GROSS_RENTAL_YIELD_V1_CANDIDATE,R3,176,43,43200.0,38400.0,47040.0,STRONG,Estimated Area Rent (Bedroom Match),,7.09,6.31,7.72
