property_id,unit_status,area,project,bedrooms,size_sqft,price_aed,dld_rental_area,R1_comparables,R1_estimate,R1_method,R2_comparables,R2_estimate,R2_method,R3_comparables,R3_estimate,R3_method,R4_comparables,R4_estimate,R4_method,selected_tier,annual_market_rent_estimate,comparable_count,estimation_method,evidence_level,gross_rental_yield,warnings
7112,ready,Jumeirah village circle,q gardens loft,1,848.0,503000.0,Al Barsha South Fourth,0.0,,,0,,,0.0,,,5099,65280.0,RECENCY_WEIGHTED_MEDIAN_IQR1.5_CAL0.96,R4,65280.0,5099,RECENCY_WEIGHTED_MEDIAN_IQR1.5_CAL0.96,STRONG,12.98,
4914,ready,Dubai Maritime City,franck muller yachting,2,792.0,1710888.0,,0.0,,,0,,,0.0,,,0,,,NO_CONTEXT,,0,,,,No DLD rental area or size
2046,ready,Dubai Maritime City,franck muller yachting,1,409.0,1120888.0,,0.0,,,0,,,0.0,,,0,,,NO_CONTEXT,,0,,,,No DLD rental area or size
3765,ready,Jumeirah village circle,q gardens loft,2,1304.0,1900000.0,Al Barsha South Fourth,0.0,,,0,,,0.0,,,1930,84480.0,RECENCY_WEIGHTED_MEDIAN_IQR1.5_CAL0.96,R4,84480.0,1930,RECENCY_WEIGHTED_MEDIAN_IQR1.5_CAL0.96,STRONG,4.45,
7881,ready,Dubai Creek Harbour,dubai creek residence tower 2 north,1,1020.0,1399990.0,Al Khairan First,0.0,,,0,,,0.0,,,4115,120000.0,RECENCY_WEIGHTED_MEDIAN_IQR1.5_CAL0.96,R4,120000.0,4115,RECENCY_WEIGHTED_MEDIAN_IQR1.5_CAL0.96,STRONG,8.57,
409,ready,Dubai Creek Harbour,harbour views 1,3,1526.0,2700000.0,Al Khairan First,0.0,,,0,,,0.0,,,2468,163200.0,RECENCY_WEIGHTED_MEDIAN_IQR1.5_CAL0.96,R4,163200.0,2468,RECENCY_WEIGHTED_MEDIAN_IQR1.5_CAL0.96,STRONG,6.04,
1330,ready,Arjan,oxford gardens,,413.0,560000.0,Al Barshaa South Third,,,,71,57600.0,RECENCY_WEIGHTED_MEDIAN_IQR1.5_CAL0.96,,,,2355,44160.0,RECENCY_WEIGHTED_MEDIAN_IQR1.5_CAL0.96,R2,57600.0,71,RECENCY_WEIGHTED_MEDIAN_IQR1.5_CAL0.96,STRONG,10.29,
2899,ready,Jumeirah village circle,q gardens loft,2,1827.0,2068970.0,Al Barsha South Fourth,0.0,,,0,,,0.0,,,619,105600.0,RECENCY_WEIGHTED_MEDIAN_IQR1.5_CAL0.96,R4,105600.0,619,RECENCY_WEIGHTED_MEDIAN_IQR1.5_CAL0.96,STRONG,5.1,
5356,ready,Business Bay,terraces marasi drive,2,,3600000.0,Business Bay,0.0,,,0,,,0.0,,,0,,,NO_CONTEXT,,0,,,,No DLD rental area or size
2155,ready,Arjan,divine living,2,1236.0,1200000.0,Al Barshaa South Third,0.0,,,24,105600.0,RECENCY_WEIGHTED_MEDIAN_IQR1.5_CAL0.96,0.0,,,2525,76800.0,RECENCY_WEIGHTED_MEDIAN_IQR1.5_CAL0.96,R2,105600.0,24,RECENCY_WEIGHTED_MEDIAN_IQR1.5_CAL0.96,STRONG,8.8,
6836,ready,Jumeirah village circle,serenity lakes 5,1,692.0,910000.0,Al Barsha South Fourth,0.0,,,2,,,0.0,,,4261,62400.0,RECENCY_WEIGHTED_MEDIAN_IQR1.5_CAL0.96,R4,62400.0,4261,RECENCY_WEIGHTED_MEDIAN_IQR1.5_CAL0.96,STRONG,6.86,
4753,ready,Jumeirah village circle,mayas geneva,1,1055.0,961000.0,Al Barsha South Fourth,0.0,,,10,78720.0,RECENCY_WEIGHTED_MEDIAN_IQR1.5_CAL0.96,0.0,,,3929,71040.0,RECENCY_WEIGHTED_MEDIAN_IQR1.5_CAL0.96,R2,78720.0,10,RECENCY_WEIGHTED_MEDIAN_IQR1.5_CAL0.96,MODERATE,8.19,
2459,ready,Business Bay,upside living,,399.0,1288890.0,Business Bay,,,,83,86400.0,RECENCY_WEIGHTED_MEDIAN_IQR1.5_CAL0.96,,,,1996,59520.0,RECENCY_WEIGHTED_MEDIAN_IQR1.5_CAL0.96,R2,86400.0,83,RECENCY_WEIGHTED_MEDIAN_IQR1.5_CAL0.96,STRONG,6.7,
2578,ready,Jumeirah village circle,la residenza,1,642.0,900000.0,Al Barsha South Fourth,0.0,,,1,,,0.0,,,3512,57600.0,RECENCY_WEIGHTED_MEDIAN_IQR1.5_CAL0.96,R4,57600.0,3512,RECENCY_WEIGHTED_MEDIAN_IQR1.5_CAL0.96,STRONG,6.4,
1467,ready,Business Bay,marriott residences,2,1167.0,3016780.0,Business Bay,0.0,,,0,,,0.0,,,3107,105600.0,RECENCY_WEIGHTED_MEDIAN_IQR1.5_CAL0.96,R4,105600.0,3107,RECENCY_WEIGHTED_MEDIAN_IQR1.5_CAL0.96,STRONG,3.5,
6720,ready,Arjan,beverly boulevard,,403.0,537000.0,Al Barshaa South Third,,,,52,48000.0,RECENCY_WEIGHTED_MEDIAN_IQR1.5_CAL0.96,,,,2253,44160.0,RECENCY_WEIGHTED_MEDIAN_IQR1.5_CAL0.96,R2,48000.0,52,RECENCY_WEIGHTED_MEDIAN_IQR1.5_CAL0.96,STRONG,8.94,
2473,ready,Jumeirah Lake Towers,mbl royal,1,848.0,1500000.0,Al Thanyah Fifth,0.0,,,78,113280.0,RECENCY_WEIGHTED_MEDIAN_IQR1.5_CAL0.96,0.0,,,2392,80640.0,RECENCY_WEIGHTED_MEDIAN_IQR1.5_CAL0.96,R2,113280.0,78,RECENCY_WEIGHTED_MEDIAN_IQR1.5_CAL0.96,STRONG,7.55,
8393,ready,Dubai Water Canal,canal front residences,2,1326.0,3900000.0,Burj Khalifa,0.0,,,0,,,0.0,,,4572,172800.0,RECENCY_WEIGHTED_MEDIAN_IQR1.5_CAL0.96,R4,172800.0,4572,RECENCY_WEIGHTED_MEDIAN_IQR1.5_CAL0.96,STRONG,4.43,
6298,ready,Jumeirah village circle,binghatti emerald,1,623.0,749000.0,Al Barsha South Fourth,0.0,,,59,65280.0,RECENCY_WEIGHTED_MEDIAN_IQR1.5_CAL0.96,0.0,,,3202,57600.0,RECENCY_WEIGHTED_MEDIAN_IQR1.5_CAL0.96,R2,65280.0,59,RECENCY_WEIGHTED_MEDIAN_IQR1.5_CAL0.96,STRONG,8.72,
2766,ready,Jumeirah village circle,binghatti emerald,2,1024.0,1100000.0,Al Barsha South Fourth,0.0,,,13,100800.0,RECENCY_WEIGHTED_MEDIAN_IQR1.5_CAL0.96,0.0,,,4159,70080.0,RECENCY_WEIGHTED_MEDIAN_IQR1.5_CAL0.96,R2,100800.0,13,RECENCY_WEIGHTED_MEDIAN_IQR1.5_CAL0.96,MODERATE,9.16,
6632,ready,Jumeirah village circle,oakley square residences,2,1189.0,1850000.0,Al Barsha South Fourth,0.0,,,15,138240.0,RECENCY_WEIGHTED_MEDIAN_IQR1.5_CAL0.96,0.0,,,2533,76800.0,RECENCY_WEIGHTED_MEDIAN_IQR1.5_CAL0.96,R2,138240.0,15,RECENCY_WEIGHTED_MEDIAN_IQR1.5_CAL0.96,MODERATE,7.47,
507,ready,Business Bay,the paragon by igo,1,596.0,1200000.0,Business Bay,0.0,,,33,86400.0,RECENCY_WEIGHTED_MEDIAN_IQR1.5_CAL0.96,0.0,,,2895,69120.0,RECENCY_WEIGHTED_MEDIAN_IQR1.5_CAL0.96,R2,86400.0,33,RECENCY_WEIGHTED_MEDIAN_IQR1.5_CAL0.96,STRONG,7.2,
673,ready,Dubai Motor City,the community motor city,,441.0,529000.0,Al Hebiah Fourth,,,,0,,,,,,1758,38400.0,RECENCY_WEIGHTED_MEDIAN_IQR1.5_CAL0.96,R4,38400.0,1758,RECENCY_WEIGHTED_MEDIAN_IQR1.5_CAL0.96,STRONG,7.26,
1597,ready,Dubai Motor City,the community motor city,1,673.0,797000.0,Al Hebiah Fourth,0.0,,,0,,,0.0,,,1640,49920.0,RECENCY_WEIGHTED_MEDIAN_IQR1.5_CAL0.96,R4,49920.0,1640,RECENCY_WEIGHTED_MEDIAN_IQR1.5_CAL0.96,STRONG,6.26,
6649,ready,Jumeirah village circle,park lane by heilbronn,1,947.0,1288890.0,Al Barsha South Fourth,0.0,,,16,91200.0,RECENCY_WEIGHTED_MEDIAN_IQR1.5_CAL0.96,0.0,,,4678,67200.0,RECENCY_WEIGHTED_MEDIAN_IQR1.5_CAL0.96,R2,91200.0,16,RECENCY_WEIGHTED_MEDIAN_IQR1.5_CAL0.96,MODERATE,7.08,
4694,ready,Dubai Creek Harbour,creek gate tower 2,2,1114.0,2550000.0,Al Khairan First,0.0,,,0,,,0.0,,,3928,124800.0,RECENCY_WEIGHTED_MEDIAN_IQR1.5_CAL0.96,R4,124800.0,3928,RECENCY_WEIGHTED_MEDIAN_IQR1.5_CAL0.96,STRONG,4.89,
8320,ready,Jumeirah village circle,eleganz,2,1274.0,2200000.0,Al Barsha South Fourth,0.0,,,0,,,0.0,,,2066,81600.0,RECENCY_WEIGHTED_MEDIAN_IQR1.5_CAL0.96,R4,81600.0,2066,RECENCY_WEIGHTED_MEDIAN_IQR1.5_CAL0.96,STRONG,3.71,
5092,ready,Dubai Land Residence Complex,4direction residence 1,,517.0,613773.0,Wadi Al Safa 5,,,,0,,,,,,936,36480.0,RECENCY_WEIGHTED_MEDIAN_IQR1.5_CAL0.96,R4,36480.0,936,RECENCY_WEIGHTED_MEDIAN_IQR1.5_CAL0.96,STRONG,5.94,
7608,ready,Business Bay,vera residences,1,474.0,1070000.0,Business Bay,0.0,,,0,,,0.0,,,2639,62400.0,RECENCY_WEIGHTED_MEDIAN_IQR1.5_CAL0.96,R4,62400.0,2639,RECENCY_WEIGHTED_MEDIAN_IQR1.5_CAL0.96,STRONG,5.83,
3407,ready,Meydan City,emerge residences,1,684.0,1590000.0,Nad Al Shiba First,0.0,,,0,,,0.0,,,348,72000.0,RECENCY_WEIGHTED_MEDIAN_IQR1.5_CAL0.96,R4,72000.0,348,RECENCY_WEIGHTED_MEDIAN_IQR1.5_CAL0.96,STRONG,4.53,
3375,ready,Jumeirah village circle,mayas geneva,2,1712.0,1900000.0,Al Barsha South Fourth,0.0,,,6,139200.0,RECENCY_WEIGHTED_MEDIAN_IQR1.5_CAL0.96,0.0,,,830,100800.0,RECENCY_WEIGHTED_MEDIAN_IQR1.5_CAL0.96,R2,139200.0,6,RECENCY_WEIGHTED_MEDIAN_IQR1.5_CAL0.96,WEAK,7.33,
6350,ready,Arjan,q gardens boutique residences,2,1629.0,1500000.0,Al Barshaa South Third,0.0,,,8,134400.0,RECENCY_WEIGHTED_MEDIAN_IQR1.5_CAL0.96,0.0,,,1209,91200.0,RECENCY_WEIGHTED_MEDIAN_IQR1.5_CAL0.96,R2,134400.0,8,RECENCY_WEIGHTED_MEDIAN_IQR1.5_CAL0.96,WEAK,8.96,
2276,ready,Jumeirah village circle,park lane by heilbronn,2,1163.0,2200000.0,Al Barsha South Fourth,0.0,,,8,110400.0,RECENCY_WEIGHTED_MEDIAN_IQR1.5_CAL0.96,0.0,,,2728,76104.0,RECENCY_WEIGHTED_MEDIAN_IQR1.5_CAL0.96,R2,110400.0,8,RECENCY_WEIGHTED_MEDIAN_IQR1.5_CAL0.96,WEAK,5.02,
6209,ready,Jumeirah village circle,concept 7 residences,1,619.0,1000000.0,Al Barsha South Fourth,0.0,,,30,72000.0,RECENCY_WEIGHTED_MEDIAN_IQR1.5_CAL0.96,0.0,,,3157,57600.0,RECENCY_WEIGHTED_MEDIAN_IQR1.5_CAL0.96,R2,72000.0,30,RECENCY_WEIGHTED_MEDIAN_IQR1.5_CAL0.96,STRONG,7.2,
5073,ready,Jumeirah village circle,luma22,,577.0,700000.0,Al Barsha South Fourth,,,,76,55680.0,RECENCY_WEIGHTED_MEDIAN_IQR1.5_CAL0.96,,,,2868,52800.0,RECENCY_WEIGHTED_MEDIAN_IQR1.5_CAL0.96,R2,55680.0,76,RECENCY_WEIGHTED_MEDIAN_IQR1.5_CAL0.96,STRONG,7.95,
6695,ready,Jumeirah village circle,binghatti amber,,455.0,720000.0,Al Barsha South Fourth,,,,37,52800.0,RECENCY_WEIGHTED_MEDIAN_IQR1.5_CAL0.96,,,,2532,43200.0,RECENCY_WEIGHTED_MEDIAN_IQR1.5_CAL0.96,R2,52800.0,37,RECENCY_WEIGHTED_MEDIAN_IQR1.5_CAL0.96,STRONG,7.33,
2460,ready,Dubai Creek Harbour,creek gate tower 2,1,721.0,1700000.0,Al Khairan First,0.0,,,0,,,0.0,,,4416,86400.0,RECENCY_WEIGHTED_MEDIAN_IQR1.5_CAL0.96,R4,86400.0,4416,RECENCY_WEIGHTED_MEDIAN_IQR1.5_CAL0.96,STRONG,5.08,
7792,ready,Jumeirah village circle,luma21,,422.0,660000.0,Al Barsha South Fourth,,,,61,49920.0,RECENCY_WEIGHTED_MEDIAN_IQR1.5_CAL0.96,,,,2355,43200.0,RECENCY_WEIGHTED_MEDIAN_IQR1.5_CAL0.96,R2,49920.0,61,RECENCY_WEIGHTED_MEDIAN_IQR1.5_CAL0.96,STRONG,7.56,
7663,ready,Arjan,48 parkside,3,1443.0,1922960.0,Al Barshaa South Third,0.0,,,4,,,0.0,,,1603,86592.0,RECENCY_WEIGHTED_MEDIAN_IQR1.5_CAL0.96,R4,86592.0,1603,RECENCY_WEIGHTED_MEDIAN_IQR1.5_CAL0.96,STRONG,4.5,
2725,ready,Jumeirah Lake Towers,saba 2,1,950.0,90000.0,Al Thanyah Fifth,0.0,,,0,,,0.0,,,2488,84480.0,RECENCY_WEIGHTED_MEDIAN_IQR1.5_CAL0.96,R4,84480.0,2488,RECENCY_WEIGHTED_MEDIAN_IQR1.5_CAL0.96,STRONG,93.87,
6540,ready,Jumeirah village circle,the autograph residences,2,1401.0,1900000.0,Al Barsha South Fourth,0.0,,,0,,,0.0,,,1634,86590.0,RECENCY_WEIGHTED_MEDIAN_IQR1.5_CAL0.96,R4,86590.0,1634,RECENCY_WEIGHTED_MEDIAN_IQR1.5_CAL0.96,STRONG,4.56,
93,ready,Dubai Marina,marina star,2,2463.0,807000.0,Marsa Dubai,0.0,,,0,,,0.0,,,1179,187200.0,RECENCY_WEIGHTED_MEDIAN_IQR1.5_CAL0.96,R4,187200.0,1179,RECENCY_WEIGHTED_MEDIAN_IQR1.5_CAL0.96,STRONG,23.2,
6277,ready,Jumeirah village circle,binghatti emerald,3,1378.0,1300000.0,Al Barsha South Fourth,0.0,,,13,100800.0,RECENCY_WEIGHTED_MEDIAN_IQR1.5_CAL0.96,0.0,,,1678,86400.0,RECENCY_WEIGHTED_MEDIAN_IQR1.5_CAL0.96,R2,100800.0,13,RECENCY_WEIGHTED_MEDIAN_IQR1.5_CAL0.96,MODERATE,7.75,
6430,ready,Arjan,beverly boulevard,2,1299.0,1300000.0,Al Barshaa South Third,0.0,,,3,,,0.0,,,2099,82555.0,RECENCY_WEIGHTED_MEDIAN_IQR1.5_CAL0.96,R4,82555.0,2099,RECENCY_WEIGHTED_MEDIAN_IQR1.5_CAL0.96,STRONG,6.35,
1620,ready,Downtown Dubai,sls dubai hotels and residences,2,1864.0,7462760.0,Burj Khalifa,0.0,,,0,,,0.0,,,2495,227520.0,RECENCY_WEIGHTED_MEDIAN_IQR1.5_CAL0.96,R4,227520.0,2495,RECENCY_WEIGHTED_MEDIAN_IQR1.5_CAL0.96,STRONG,3.05,
422,ready,Emaar South,golf edge,3,1641.0,2500000.0,Madinat Al Mataar,0.0,,,0,,,0.0,,,542,91200.0,RECENCY_WEIGHTED_MEDIAN_IQR1.5_CAL0.96,R4,91200.0,542,RECENCY_WEIGHTED_MEDIAN_IQR1.5_CAL0.96,STRONG,3.65,
2838,ready,Jumeirah village circle,binghatti rose,3,1285.0,1550000.0,Al Barsha South Fourth,0.0,,,6,105600.0,RECENCY_WEIGHTED_MEDIAN_IQR1.5_CAL0.96,0.0,,,2005,81600.0,RECENCY_WEIGHTED_MEDIAN_IQR1.5_CAL0.96,R2,105600.0,6,RECENCY_WEIGHTED_MEDIAN_IQR1.5_CAL0.96,WEAK,6.81,
3843,ready,Arjan,beverly boulevard,1,800.0,866000.0,Al Barshaa South Third,0.0,,,25,81600.0,RECENCY_WEIGHTED_MEDIAN_IQR1.5_CAL0.96,0.0,,,3046,62400.0,RECENCY_WEIGHTED_MEDIAN_IQR1.5_CAL0.96,R2,81600.0,25,RECENCY_WEIGHTED_MEDIAN_IQR1.5_CAL0.96,STRONG,9.42,
453,ready,Business Bay,aykon city tower,3,1301.0,2600000.0,Business Bay,0.0,,,0,,,0.0,,,2909,115200.0,RECENCY_WEIGHTED_MEDIAN_IQR1.5_CAL0.96,R4,115200.0,2909,RECENCY_WEIGHTED_MEDIAN_IQR1.5_CAL0.96,STRONG,4.43,
8066,ready,Meydan City,the 100,4,4292.0,14580000.0,,0.0,,,0,,,0.0,,,0,,,NO_CONTEXT,,0,,,,No DLD rental area or size
6835,ready,Dubai Marina,liv residence,3,1764.0,5500000.0,Marsa Dubai,0.0,,,14,177600.0,RECENCY_WEIGHTED_MEDIAN_IQR1.5_CAL0.96,0.0,,,3160,144000.0,RECENCY_WEIGHTED_MEDIAN_IQR1.5_CAL0.96,R2,177600.0,14,RECENCY_WEIGHTED_MEDIAN_IQR1.5_CAL0.96,MODERATE,3.23,
8201,ready,Business Bay,marquise square,3,2326.0,4300000.0,Business Bay,0.0,,,0,,,0.0,,,834,163200.0,RECENCY_WEIGHTED_MEDIAN_IQR1.5_CAL0.96,R4,163200.0,834,RECENCY_WEIGHTED_MEDIAN_IQR1.5_CAL0.96,STRONG,3.8,
1913,ready,Dubai Creek Harbour,creek beach orchid,3,1514.0,2500000.0,Al Khairan First,0.0,,,205,163200.0,RECENCY_WEIGHTED_MEDIAN_IQR1.5_CAL0.96,0.0,,,2625,163200.0,RECENCY_WEIGHTED_MEDIAN_IQR1.5_CAL0.96,R2,163200.0,205,RECENCY_WEIGHTED_MEDIAN_IQR1.5_CAL0.96,STRONG,6.53,
601,ready,Jumeirah village circle,aura residences,2,1107.0,1950000.0,Al Barsha South Fourth,0.0,,,0,,,0.0,,,3368,72000.0,RECENCY_WEIGHTED_MEDIAN_IQR1.5_CAL0.96,R4,72000.0,3368,RECENCY_WEIGHTED_MEDIAN_IQR1.5_CAL0.96,STRONG,3.69,
1111,ready,Arjan,oxford gardens,1,824.0,843000.0,Al Barshaa South Third,0.0,,,44,92160.0,RECENCY_WEIGHTED_MEDIAN_IQR1.5_CAL0.96,0.0,,,3098,62713.0,RECENCY_WEIGHTED_MEDIAN_IQR1.5_CAL0.96,R2,92160.0,44,RECENCY_WEIGHTED_MEDIAN_IQR1.5_CAL0.96,STRONG,10.93,
5113,ready,Downtown Dubai,sls dubai hotels and residences,1,1163.0,3465820.0,Burj Khalifa,0.0,,,0,,,0.0,,,4721,165600.0,RECENCY_WEIGHTED_MEDIAN_IQR1.5_CAL0.96,R4,165600.0,4721,RECENCY_WEIGHTED_MEDIAN_IQR1.5_CAL0.96,STRONG,4.78,
1637,ready,Arjan,oxford gardens,2,413.0,1400000.0,Al Barshaa South Third,0.0,,,71,57600.0,RECENCY_WEIGHTED_MEDIAN_IQR1.5_CAL0.96,0.0,,,2355,44160.0,RECENCY_WEIGHTED_MEDIAN_IQR1.5_CAL0.96,R2,57600.0,71,RECENCY_WEIGHTED_MEDIAN_IQR1.5_CAL0.96,STRONG,4.11,
6594,ready,Dubai Creek Harbour,creek beach orchid,1,679.0,1700000.0,Al Khairan First,0.0,,,405,88320.0,RECENCY_WEIGHTED_MEDIAN_IQR1.5_CAL0.96,0.0,,,4290,86400.0,RECENCY_WEIGHTED_MEDIAN_IQR1.5_CAL0.96,R2,88320.0,405,RECENCY_WEIGHTED_MEDIAN_IQR1.5_CAL0.96,STRONG,5.2,
7916,ready,Arjan,divine living,3,2037.0,1700000.0,Al Barshaa South Third,0.0,,,0,,,0.0,,,191,115200.0,RECENCY_WEIGHTED_MEDIAN_IQR1.5_CAL0.96,R4,115200.0,191,RECENCY_WEIGHTED_MEDIAN_IQR1.5_CAL0.96,STRONG,6.78,
7020,ready,Dubai Water Canal,canal front residences,3,1762.0,5200000.0,Burj Khalifa,0.0,,,0,,,0.0,,,2793,216000.0,RECENCY_WEIGHTED_MEDIAN_IQR1.5_CAL0.96,R4,216000.0,2793,RECENCY_WEIGHTED_MEDIAN_IQR1.5_CAL0.96,STRONG,4.15,
897,ready,Dubai Creek Harbour,creek edge,3,1591.0,2800000.0,Al Khairan First,0.0,,,15,211680.0,RECENCY_WEIGHTED_MEDIAN_IQR1.5_CAL0.96,0.0,,,2028,168000.0,RECENCY_WEIGHTED_MEDIAN_IQR1.5_CAL0.96,R2,211680.0,15,RECENCY_WEIGHTED_MEDIAN_IQR1.5_CAL0.96,MODERATE,7.56,
2398,ready,Jumeirah village circle,binghatti gardenia,3,1109.0,1750000.0,Al Barsha South Fourth,0.0,,,13,105600.0,RECENCY_WEIGHTED_MEDIAN_IQR1.5_CAL0.96,0.0,,,3340,72000.0,RECENCY_WEIGHTED_MEDIAN_IQR1.5_CAL0.96,R2,105600.0,13,RECENCY_WEIGHTED_MEDIAN_IQR1.5_CAL0.96,MODERATE,6.03,
2730,ready,Jumeirah village circle,luma21,2,1144.0,1200000.0,Al Barsha South Fourth,0.0,,,7,112320.0,RECENCY_WEIGHTED_MEDIAN_IQR1.5_CAL0.96,0.0,,,2898,73347.0,RECENCY_WEIGHTED_MEDIAN_IQR1.5_CAL0.96,R2,112320.0,7,RECENCY_WEIGHTED_MEDIAN_IQR1.5_CAL0.96,WEAK,9.36,
7464,ready,Jumeirah village circle,plaza residences 1,2,1209.0,1020000.0,Al Barsha South Fourth,0.0,,,0,,,0.0,,,2431,78720.0,RECENCY_WEIGHTED_MEDIAN_IQR1.5_CAL0.96,R4,78720.0,2431,RECENCY_WEIGHTED_MEDIAN_IQR1.5_CAL0.96,STRONG,7.72,
4547,ready,Jumeirah village circle,gardenia residency,1,1379.0,1050000.0,Al Barsha South Fourth,0.0,,,0,,,0.0,,,1679,86400.0,RECENCY_WEIGHTED_MEDIAN_IQR1.5_CAL0.96,R4,86400.0,1679,RECENCY_WEIGHTED_MEDIAN_IQR1.5_CAL0.96,STRONG,8.23,
5009,ready,Arjan,divine living,1,739.0,796000.0,Al Barshaa South Third,0.0,,,18,76800.0,RECENCY_WEIGHTED_MEDIAN_IQR1.5_CAL0.96,0.0,,,2697,61440.0,RECENCY_WEIGHTED_MEDIAN_IQR1.5_CAL0.96,R2,76800.0,18,RECENCY_WEIGHTED_MEDIAN_IQR1.5_CAL0.96,MODERATE,9.65,
1146,ready,Downtown Dubai,sls dubai hotels and residences,1,1084.0,3955410.0,Burj Khalifa,0.0,,,0,,,0.0,,,4728,154028.0,RECENCY_WEIGHTED_MEDIAN_IQR1.5_CAL0.96,R4,154028.0,4728,RECENCY_WEIGHTED_MEDIAN_IQR1.5_CAL0.96,STRONG,3.89,
7278,ready,Dubai Water Canal,canal front residences,1,913.0,2200000.0,Burj Khalifa,0.0,,,0,,,0.0,,,4108,120000.0,RECENCY_WEIGHTED_MEDIAN_IQR1.5_CAL0.96,R4,120000.0,4108,RECENCY_WEIGHTED_MEDIAN_IQR1.5_CAL0.96,STRONG,5.45,
365,ready,Jumeirah village circle,beverly residence 2,,460.0,609000.0,Al Barsha South Fourth,,,,2,,,,,,2533,43200.0,RECENCY_WEIGHTED_MEDIAN_IQR1.5_CAL0.96,R4,43200.0,2533,RECENCY_WEIGHTED_MEDIAN_IQR1.5_CAL0.96,STRONG,7.09,
