property_id,master_project,master_area,master_developer,resolved_property_type,project_match_status,service_charge_status,mollak_project,mollak_community,mollak_year,mollak_usage,rate_aed_sqft,gf_rate,rf_rate,gt_rate,component_match,budget_start,budget_end,location_parity,developer_support,qdrant_support,phase_support,name_similarity,token_overlap,area_basis_verified,production_eligible,failure_reason,match_method,review_confidence,review_classification
7656,Concept 7 Residences,Jumeirah village circle,Condor Developers,Apartment,AMBIGUOUS,NOT_MATCHED,DEZIRE RESIDENCES,Jumeirah Village Circle,,,,,,,,,,True,False,True,False,0.649,0,False,False,AMBIGUOUS: 3 candidates,,3,MEDIUM_CONFIDENCE_REVIEW
2832,Westwood Grande Residences,Jumeirah village circle,Imtiaz,Apartment,AMBIGUOUS,NOT_MATCHED,DEZIRE RESIDENCES,Jumeirah Village Circle,,,,,,,,,,True,False,True,False,0.651,0,False,False,,FUZZY_COMMUNITY,3,MEDIUM_CONFIDENCE_REVIEW
3097,Catch Residence by IGO,Jumeirah village circle,Invest Group Overseas (IGO),Apartment,AMBIGUOUS,NOT_MATCHED,HYATI RESIDENCE,Jumeirah Village Circle,,,,,,,,,,True,False,True,False,0.649,0,False,False,AMBIGUOUS: 2 candidates,,3,MEDIUM_CONFIDENCE_REVIEW
1516,Azizi Amber,Al Furjan,Azizi,Apartment,AMBIGUOUS,NOT_MATCHED,AZIZI. YASAMINE,Al Furjan,,,,,,,,,,True,False,True,False,0.72,1,False,False,AMBIGUOUS: 2 candidates,,4,MEDIUM_CONFIDENCE_REVIEW
793,Westwood Grande Residences,Jumeirah village circle,Imtiaz,Apartment,AMBIGUOUS,NOT_MATCHED,DEZIRE RESIDENCES,Jumeirah Village Circle,,,,,,,,,,True,False,True,False,0.651,0,False,False,,FUZZY_COMMUNITY,3,MEDIUM_CONFIDENCE_REVIEW
5497,Aura Residences,Jumeirah village circle,Grovy Developers,Apartment,AMBIGUOUS,NOT_MATCHED,MAY RESIDENCE,Jumeirah Village Circle,,,,,,,,,,True,False,True,False,0.786,0,False,False,AMBIGUOUS: 3 candidates,,3,MEDIUM_CONFIDENCE_REVIEW
4997,Beverly Residence 2,Jumeirah village circle,HMB Homes Real Estate Development,Apartment,AMBIGUOUS,NOT_MATCHED,MAY RESIDENCE,Jumeirah Village Circle,,,,,,,,,,True,False,True,False,0.688,0,False,False,AMBIGUOUS: 3 candidates,,3,MEDIUM_CONFIDENCE_REVIEW
6530,Empire Residences,Jumeirah village circle,Peace Homes Development,Apartment,AMBIGUOUS,NOT_MATCHED,DEZIRE RESIDENCES,Jumeirah Village Circle,,,,,,,,,,True,False,True,False,0.882,0,False,False,AMBIGUOUS: 3 candidates,,4,MEDIUM_CONFIDENCE_REVIEW
3231,Harbour Gate,Dubai Creek Harbour,Emaar,Apartment,AMBIGUOUS,NOT_MATCHED,HARBOUR VIEWS,Dubai Creek Harbour,,,,,,,,,,True,True,True,False,0.72,1,False,False,,FUZZY_COMMUNITY,6,HIGH_CONFIDENCE_REVIEW
5263,Oakley Square Residences,Jumeirah village circle,Ellington,Apartment,AMBIGUOUS,NOT_MATCHED,DEZIRE RESIDENCES,Jumeirah Village Circle,,,,,,,,,,True,False,True,False,0.683,0,False,False,AMBIGUOUS: 2 candidates,,3,MEDIUM_CONFIDENCE_REVIEW
884,Canal Residence West,Dubai Sports City,Dubai Sports City LLC,Apartment,AMBIGUOUS,NOT_MATCHED,Canal Residence West 2,Dubai Sports City,,,,,,,,,,True,True,True,False,0.952,2,False,False,AMBIGUOUS: 6 candidates,,8,HIGH_CONFIDENCE_REVIEW
5402,The Pad by Omniyat,Business Bay,Omniyat,Apartment,AMBIGUOUS,NOT_MATCHED,THE OPUS BY OMNIYAT,Business Bay,,,,,,,,,,True,False,True,False,0.865,1,False,False,ONLY_DEVELOPER_TOKEN_OVERLAP: {'omniyat'},FUZZY_COMMUNITY,5,HIGH_CONFIDENCE_REVIEW
4263,Harbour Gate,Dubai Creek Harbour,Emaar,Apartment,AMBIGUOUS,NOT_MATCHED,HARBOUR VIEWS,Dubai Creek Harbour,,,,,,,,,,True,True,True,False,0.72,1,False,False,,FUZZY_COMMUNITY,6,HIGH_CONFIDENCE_REVIEW
735,Harbour Gate,Dubai Creek Harbour,Emaar,Apartment,AMBIGUOUS,NOT_MATCHED,HARBOUR VIEWS,Dubai Creek Harbour,,,,,,,,,,True,True,True,False,0.72,1,False,False,,FUZZY_COMMUNITY,6,HIGH_CONFIDENCE_REVIEW
4702,Canal Residence West,Dubai Sports City,Dubai Sports City LLC,Apartment,AMBIGUOUS,NOT_MATCHED,Canal Residence West 2,Dubai Sports City,,,,,,,,,,True,True,True,False,0.952,2,False,False,AMBIGUOUS: 6 candidates,,8,HIGH_CONFIDENCE_REVIEW
3027,Binghatti Crescent,Jumeirah village circle,Binghatti,Apartment,AMBIGUOUS,NOT_MATCHED,HYATI RESIDENCE,Jumeirah Village Circle,,,,,,,,,,True,False,True,False,0.606,0,False,False,,FUZZY_COMMUNITY,3,MEDIUM_CONFIDENCE_REVIEW
432,Creek Beach Orchid,Dubai Creek Harbour,Emaar,Apartment,AMBIGUOUS,NOT_MATCHED,CREEK HORIZON,Dubai Creek Harbour,,,,,,,,,,True,True,True,False,0.645,1,False,False,,FUZZY_COMMUNITY,6,HIGH_CONFIDENCE_REVIEW
4750,Canal Residence West,Dubai Sports City,Dubai Sports City LLC,Apartment,AMBIGUOUS,NOT_MATCHED,Canal Residence West 2,Dubai Sports City,,,,,,,,,,True,True,True,False,0.952,2,False,False,AMBIGUOUS: 6 candidates,,8,HIGH_CONFIDENCE_REVIEW
5961,Vera Residences,Business Bay,Damac,Apartment,AMBIGUOUS,NOT_MATCHED,REVA RESIDENCES,Business Bay,,,,,,,,,,True,False,True,False,0.867,0,False,False,AMBIGUOUS: 2 candidates,,4,MEDIUM_CONFIDENCE_REVIEW
7727,Oakley Square Residences,Jumeirah village circle,Ellington,Apartment,AMBIGUOUS,NOT_MATCHED,DEZIRE RESIDENCES,Jumeirah Village Circle,,,,,,,,,,True,False,True,False,0.683,0,False,False,AMBIGUOUS: 2 candidates,,3,MEDIUM_CONFIDENCE_REVIEW
3440,Royal Bay,Palm Jumeirah,Azizi,Apartment,AMBIGUOUS,NOT_MATCHED,ROYAL AMWAJ,Palm Jumeirah,,,,,,,,,,True,False,True,False,0.7,1,False,False,,FUZZY_COMMUNITY,4,MEDIUM_CONFIDENCE_REVIEW
3160,Marquise Square,Business Bay,Seven Tides,Apartment,AMBIGUOUS,NOT_MATCHED,MARQUISE SQUARE TOWER,Business Bay,,,,,,,,,,True,False,True,False,0.833,2,False,False,,FUZZY_COMMUNITY,6,HIGH_CONFIDENCE_REVIEW
6630,The Autograph Residences,Jumeirah village circle,Green Group,Apartment,AMBIGUOUS,NOT_MATCHED,DEZIRE RESIDENCES,Jumeirah Village Circle,,,,,,,,,,True,False,True,False,0.634,0,False,False,,FUZZY_COMMUNITY,3,MEDIUM_CONFIDENCE_REVIEW
800,Azizi Amber,Al Furjan,Azizi,Apartment,AMBIGUOUS,NOT_MATCHED,AZIZI. YASAMINE,Al Furjan,,,,,,,,,,True,False,True,False,0.72,1,False,False,AMBIGUOUS: 2 candidates,,4,MEDIUM_CONFIDENCE_REVIEW
7669,Pantheon Elysee III,Jumeirah village circle,Pantheon Development,Apartment,AMBIGUOUS,NOT_MATCHED,PANTHEON ELYSEE,Jumeirah Village Circle,,,,,,,,,,True,False,True,True,0.882,2,False,False,PHASE_FAMILY: MASTER has phase {'iii'} not in Mollak; cannot assume shared budget,FUZZY_COMMUNITY,6,HIGH_CONFIDENCE_REVIEW
5582,Marquise Square,Business Bay,Seven Tides,Apartment,AMBIGUOUS,NOT_MATCHED,MARQUISE SQUARE TOWER,Business Bay,,,,,,,,,,True,False,True,False,0.833,2,False,False,,FUZZY_COMMUNITY,6,HIGH_CONFIDENCE_REVIEW
5579,Creek Rise Tower 1,Dubai Creek Harbour,Emaar,Apartment,AMBIGUOUS,NOT_MATCHED,CREEKSIDE 18,Dubai Creek Harbour,,,,,,,,,,True,True,True,True,0.6,0,False,False,PHASE_FAMILY: MASTER has phase {'1'} not in Mollak; cannot assume shared budget,FUZZY_COMMUNITY,5,HIGH_CONFIDENCE_REVIEW
5801,Empire Residences,Jumeirah village circle,Peace Homes Development,Apartment,AMBIGUOUS,NOT_MATCHED,DEZIRE RESIDENCES,Jumeirah Village Circle,,,,,,,,,,True,False,True,False,0.882,0,False,False,AMBIGUOUS: 3 candidates,,4,MEDIUM_CONFIDENCE_REVIEW
5528,Creek Rise Tower 1,Dubai Creek Harbour,Emaar,Apartment,AMBIGUOUS,NOT_MATCHED,CREEKSIDE 18,Dubai Creek Harbour,,,,,,,,,,True,True,True,True,0.6,0,False,False,PHASE_FAMILY: MASTER has phase {'1'} not in Mollak; cannot assume shared budget,FUZZY_COMMUNITY,5,HIGH_CONFIDENCE_REVIEW
7449,Creek Rise Tower 1,Dubai Creek Harbour,Emaar,Apartment,AMBIGUOUS,NOT_MATCHED,CREEKSIDE 18,Dubai Creek Harbour,,,,,,,,,,True,True,True,True,0.6,0,False,False,PHASE_FAMILY: MASTER has phase {'1'} not in Mollak; cannot assume shared budget,FUZZY_COMMUNITY,5,HIGH_CONFIDENCE_REVIEW
1656,AG Tower,Business Bay,Arabian Gulf Properties,Apartment,AMBIGUOUS,NOT_MATCHED,VERA TOWER ,Business Bay,,,,,,,,,,True,False,True,False,0.778,0,False,False,AMBIGUOUS: 2 candidates,,3,MEDIUM_CONFIDENCE_REVIEW
5431,Pantheon Elysee II,Jumeirah village circle,Pantheon Development,Apartment,AMBIGUOUS,NOT_MATCHED,PANTHEON ELYSEE,Jumeirah Village Circle,,,,,,,,,,True,False,True,True,0.909,2,False,False,PHASE_FAMILY: MASTER has phase {'ii'} not in Mollak; cannot assume shared budget,FUZZY_COMMUNITY,6,HIGH_CONFIDENCE_REVIEW
2620,Avanti Tower,Business Bay,Damac,Apartment,AMBIGUOUS,NOT_MATCHED,VERA TOWER ,Business Bay,,,,,,,,,,True,False,True,False,0.636,0,False,False,,FUZZY_COMMUNITY,3,MEDIUM_CONFIDENCE_REVIEW
5860,LIV Residence,Dubai Marina,Liv,Apartment,AMBIGUOUS,NOT_MATCHED,BAYSIDE RESIDENCE,Dubai Marina,,,,,,,,,,True,False,True,False,0.733,0,False,False,,FUZZY_COMMUNITY,3,MEDIUM_CONFIDENCE_REVIEW
3599,Pantheon Elysee II,Jumeirah village circle,Pantheon Development,Apartment,AMBIGUOUS,NOT_MATCHED,PANTHEON ELYSEE,Jumeirah Village Circle,,,,,,,,,,True,False,True,True,0.909,2,False,False,PHASE_FAMILY: MASTER has phase {'ii'} not in Mollak; cannot assume shared budget,FUZZY_COMMUNITY,6,HIGH_CONFIDENCE_REVIEW
655,Pantheon Elysee III,Jumeirah village circle,Pantheon Development,Apartment,AMBIGUOUS,NOT_MATCHED,PANTHEON ELYSEE,Jumeirah Village Circle,,,,,,,,,,True,False,True,True,0.882,2,False,False,PHASE_FAMILY: MASTER has phase {'iii'} not in Mollak; cannot assume shared budget,FUZZY_COMMUNITY,6,HIGH_CONFIDENCE_REVIEW
6176,Catch Residence by IGO,Jumeirah village circle,Invest Group Overseas (IGO),Apartment,AMBIGUOUS,NOT_MATCHED,HYATI RESIDENCE,Jumeirah Village Circle,,,,,,,,,,True,False,True,False,0.649,0,False,False,AMBIGUOUS: 2 candidates,,3,MEDIUM_CONFIDENCE_REVIEW
3901,Trillionaire Residences,Business Bay,Binghatti,Apartment,AMBIGUOUS,NOT_MATCHED,REVA RESIDENCES,Business Bay,,,,,,,,,,True,False,True,False,0.684,0,False,False,AMBIGUOUS: 2 candidates,,3,MEDIUM_CONFIDENCE_REVIEW
3668,Nobles Tower,Business Bay,Tiger Properties,Apartment,AMBIGUOUS,NOT_MATCHED,VERA TOWER ,Business Bay,,,,,,,,,,True,False,True,False,0.636,0,False,False,,FUZZY_COMMUNITY,3,MEDIUM_CONFIDENCE_REVIEW
392,Marriott Residences,Business Bay,Fortune 5,Apartment,AMBIGUOUS,NOT_MATCHED,Ahad Residences,Business Bay,,,,,,,,,,True,False,True,False,0.706,0,False,False,AMBIGUOUS: 3 candidates,,3,MEDIUM_CONFIDENCE_REVIEW
7930,Muraba Residences,Palm Jumeirah,Muraba Properties,Apartment,AMBIGUOUS,NOT_MATCHED,TIARA RESIDENCE,Palm Jumeirah,,,,,,,,,,True,False,True,False,0.75,0,False,False,AMBIGUOUS: 3 candidates,,3,MEDIUM_CONFIDENCE_REVIEW
6473,Empire Residences,Jumeirah village circle,Peace Homes Development,Apartment,AMBIGUOUS,NOT_MATCHED,DEZIRE RESIDENCES,Jumeirah Village Circle,,,,,,,,,,True,False,True,False,0.882,0,False,False,AMBIGUOUS: 3 candidates,,4,MEDIUM_CONFIDENCE_REVIEW
3276,La Residenza,Jumeirah village circle,Dalands Holding,Apartment,AMBIGUOUS,NOT_MATCHED,MAY RESIDENCE,Jumeirah Village Circle,,,,,,,,,,True,False,True,False,0.72,0,False,False,AMBIGUOUS: 2 candidates,,3,MEDIUM_CONFIDENCE_REVIEW
1208,Marquise Square,Business Bay,Seven Tides,Apartment,AMBIGUOUS,NOT_MATCHED,MARQUISE SQUARE TOWER,Business Bay,,,,,,,,,,True,False,True,False,0.833,2,False,False,,FUZZY_COMMUNITY,6,HIGH_CONFIDENCE_REVIEW
2185,Azizi Amber,Al Furjan,Azizi,Apartment,AMBIGUOUS,NOT_MATCHED,AZIZI. YASAMINE,Al Furjan,,,,,,,,,,True,False,True,False,0.72,1,False,False,AMBIGUOUS: 2 candidates,,4,MEDIUM_CONFIDENCE_REVIEW
802,Azizi Amber,Al Furjan,Azizi,Apartment,AMBIGUOUS,NOT_MATCHED,AZIZI. YASAMINE,Al Furjan,,,,,,,,,,True,False,True,False,0.72,1,False,False,AMBIGUOUS: 2 candidates,,4,MEDIUM_CONFIDENCE_REVIEW
5793,AG Tower,Business Bay,Arabian Gulf Properties,Apartment,AMBIGUOUS,NOT_MATCHED,VERA TOWER ,Business Bay,,,,,,,,,,True,False,True,False,0.778,0,False,False,AMBIGUOUS: 2 candidates,,3,MEDIUM_CONFIDENCE_REVIEW
1298,Creek Rise Tower 1,Dubai Creek Harbour,Emaar,Townhouse,AMBIGUOUS,NOT_MATCHED,CREEKSIDE 18,Dubai Creek Harbour,,,,,,,,,,True,True,True,True,0.6,0,False,False,PHASE_FAMILY: MASTER has phase {'1'} not in Mollak; cannot assume shared budget,FUZZY_COMMUNITY,5,HIGH_CONFIDENCE_REVIEW
4762,Ashton Park Residences,Jumeirah village circle,Mirfa,Apartment,AMBIGUOUS,NOT_MATCHED,HYATI RESIDENCE,Jumeirah Village Circle,,,,,,,,,,True,False,True,False,0.649,0,False,False,AMBIGUOUS: 3 candidates,,3,MEDIUM_CONFIDENCE_REVIEW
5513,Canal Residence West,Dubai Sports City,Dubai Sports City LLC,Apartment,AMBIGUOUS,NOT_MATCHED,Canal Residence West 2,Dubai Sports City,,,,,,,,,,True,True,True,False,0.952,2,False,False,AMBIGUOUS: 6 candidates,,8,HIGH_CONFIDENCE_REVIEW
2816,Gardenia Residency,Jumeirah village circle,Shaikhani Group,Apartment,AMBIGUOUS,NOT_MATCHED,DEZIRE RESIDENCES,Jumeirah Village Circle,,,,,,,,,,True,False,True,False,0.686,0,False,False,AMBIGUOUS: 3 candidates,,3,MEDIUM_CONFIDENCE_REVIEW
1641,Ashton Park Residences,Jumeirah village circle,Mirfa,Apartment,AMBIGUOUS,NOT_MATCHED,HYATI RESIDENCE,Jumeirah Village Circle,,,,,,,,,,True,False,True,False,0.649,0,False,False,AMBIGUOUS: 3 candidates,,3,MEDIUM_CONFIDENCE_REVIEW
408,Binghatti Crescent,Jumeirah village circle,Binghatti,Apartment,AMBIGUOUS,NOT_MATCHED,HYATI RESIDENCE,Jumeirah Village Circle,,,,,,,,,,True,False,True,False,0.606,0,False,False,,FUZZY_COMMUNITY,3,MEDIUM_CONFIDENCE_REVIEW
6627,Royal Bay,Palm Jumeirah,Azizi,Apartment,AMBIGUOUS,NOT_MATCHED,ROYAL AMWAJ,Palm Jumeirah,,,,,,,,,,True,False,True,False,0.7,1,False,False,,FUZZY_COMMUNITY,4,MEDIUM_CONFIDENCE_REVIEW
2199,LIV Residence,Dubai Marina,Liv,Apartment,AMBIGUOUS,NOT_MATCHED,BAYSIDE RESIDENCE,Dubai Marina,,,,,,,,,,True,False,True,False,0.733,0,False,False,,FUZZY_COMMUNITY,3,MEDIUM_CONFIDENCE_REVIEW
5319,LIV Residence,Dubai Marina,Liv,Apartment,AMBIGUOUS,NOT_MATCHED,BAYSIDE RESIDENCE,Dubai Marina,,,,,,,,,,True,False,True,False,0.733,0,False,False,,FUZZY_COMMUNITY,3,MEDIUM_CONFIDENCE_REVIEW
5,Avanti Tower,Business Bay,Damac,Apartment,AMBIGUOUS,NOT_MATCHED,VERA TOWER ,Business Bay,,,,,,,,,,True,False,True,False,0.636,0,False,False,,FUZZY_COMMUNITY,3,MEDIUM_CONFIDENCE_REVIEW
7799,Avanti Tower,Business Bay,Damac,Apartment,AMBIGUOUS,NOT_MATCHED,VERA TOWER ,Business Bay,,,,,,,,,,True,False,True,False,0.636,0,False,False,,FUZZY_COMMUNITY,3,MEDIUM_CONFIDENCE_REVIEW
2236,Ashton Park Residences,Jumeirah village circle,Mirfa,Apartment,AMBIGUOUS,NOT_MATCHED,HYATI RESIDENCE,Jumeirah Village Circle,,,,,,,,,,True,False,True,False,0.649,0,False,False,AMBIGUOUS: 3 candidates,,3,MEDIUM_CONFIDENCE_REVIEW
1821,Binghatti Crescent,Jumeirah village circle,Binghatti,Apartment,AMBIGUOUS,NOT_MATCHED,HYATI RESIDENCE,Jumeirah Village Circle,,,,,,,,,,True,False,True,False,0.606,0,False,False,,FUZZY_COMMUNITY,3,MEDIUM_CONFIDENCE_REVIEW
5370,Trillionaire Residences,Business Bay,Binghatti,Apartment,AMBIGUOUS,NOT_MATCHED,REVA RESIDENCES,Business Bay,,,,,,,,,,True,False,True,False,0.684,0,False,False,AMBIGUOUS: 2 candidates,,3,MEDIUM_CONFIDENCE_REVIEW
7170,AG Tower,Business Bay,Arabian Gulf Properties,Apartment,AMBIGUOUS,NOT_MATCHED,VERA TOWER ,Business Bay,,,,,,,,,,True,False,True,False,0.778,0,False,False,AMBIGUOUS: 2 candidates,,3,MEDIUM_CONFIDENCE_REVIEW
4975,Trillionaire Residences,Business Bay,Binghatti,Apartment,AMBIGUOUS,NOT_MATCHED,REVA RESIDENCES,Business Bay,,,,,,,,,,True,False,True,False,0.684,0,False,False,AMBIGUOUS: 2 candidates,,3,MEDIUM_CONFIDENCE_REVIEW
4938,Nobles Tower,Business Bay,Tiger Properties,Apartment,AMBIGUOUS,NOT_MATCHED,VERA TOWER ,Business Bay,,,,,,,,,,True,False,True,False,0.636,0,False,False,,FUZZY_COMMUNITY,3,MEDIUM_CONFIDENCE_REVIEW
7622,The Pad by Omniyat,Business Bay,Omniyat,Apartment,AMBIGUOUS,NOT_MATCHED,THE OPUS BY OMNIYAT,Business Bay,,,,,,,,,,True,False,True,False,0.865,1,False,False,ONLY_DEVELOPER_TOKEN_OVERLAP: {'omniyat'},FUZZY_COMMUNITY,5,HIGH_CONFIDENCE_REVIEW
2381,Mama Residences,Business Bay,Kappa Acca Real Estate Development,Apartment,AMBIGUOUS,NOT_MATCHED,Ahad Residences,Business Bay,,,,,,,,,,True,False,True,False,0.867,0,False,False,AMBIGUOUS: 2 candidates,,4,MEDIUM_CONFIDENCE_REVIEW
