property_id,master_project,master_area,master_developer,mollak_project,mollak_area,mollak_management_company,similarity_score,normalized_master,normalized_mollak,rate_aed_sqft,service_charge_year,area_match,developer_match,token_overlap,phase_match,classification,verification_basis,review_status
5961,Vera Residences,Business Bay,Damac,REVA RESIDENCES,Business Bay,LUXURY OWNER ASSOCIATION MANAGEMENT SERVICES CO. L.L.C,0.8667,vera residences,reva residences,27.28,2026,True,False,set(),False,AMBIGUOUS,"similarity=0.8667, area_match=True, dev_match=False, phase_match=False, token_overlap=set() — insufficient cross-field support or no meaningful token overlap",AMBIGUOUS
7669,Pantheon Elysee III,Jumeirah village circle,Pantheon Development,PANTHEON ELYSEE,Al Barsha South Fourth,PANDA OWNER ASSOCIATION MANAGEMENT SERVICES L.L.C,0.8824,pantheon elysee iii,pantheon elysee,14.6,2025,False,False,"{'elysee', 'pantheon'}",False,AMBIGUOUS,"similarity=0.8824, area_match=False, dev_match=False, phase_match=False, token_overlap={'elysee', 'pantheon'} — insufficient cross-field support or no meaningful token overlap",AMBIGUOUS
5801,Empire Residences,Jumeirah village circle,Peace Homes Development,DEZIRE RESIDENCES,Al Barsha South Fourth,ADVENTUS OWNERS ASSOCIATION MANAGEMENT L.L.C,0.8824,empire residences,dezire residences,15.39,2026,False,False,set(),False,AMBIGUOUS,"similarity=0.8824, area_match=False, dev_match=False, phase_match=False, token_overlap=set() — insufficient cross-field support or no meaningful token overlap",AMBIGUOUS
1656,AG Tower,Business Bay,Arabian Gulf Properties,G-TOWER,Al Barsha South Fourth,SHEPHERD OAM JOINTLY OWNED MANAGEMENT SERVICES L.L.C,0.9333,ag tower,g tower,15.14,2026,False,False,set(),False,AMBIGUOUS,"similarity=0.9333, area_match=False, dev_match=False, phase_match=False, token_overlap=set() — insufficient cross-field support or no meaningful token overlap",AMBIGUOUS
5431,Pantheon Elysee II,Jumeirah village circle,Pantheon Development,PANTHEON ELYSEE,Al Barsha South Fourth,PANDA OWNER ASSOCIATION MANAGEMENT SERVICES L.L.C,0.9091,pantheon elysee ii,pantheon elysee,14.6,2025,False,False,"{'elysee', 'pantheon'}",False,AMBIGUOUS,"similarity=0.9091, area_match=False, dev_match=False, phase_match=False, token_overlap={'elysee', 'pantheon'} — insufficient cross-field support or no meaningful token overlap",AMBIGUOUS
3599,Pantheon Elysee II,Jumeirah village circle,Pantheon Development,PANTHEON ELYSEE,Al Barsha South Fourth,PANDA OWNER ASSOCIATION MANAGEMENT SERVICES L.L.C,0.9091,pantheon elysee ii,pantheon elysee,14.6,2025,False,False,"{'elysee', 'pantheon'}",False,AMBIGUOUS,"similarity=0.9091, area_match=False, dev_match=False, phase_match=False, token_overlap={'elysee', 'pantheon'} — insufficient cross-field support or no meaningful token overlap",AMBIGUOUS
655,Pantheon Elysee III,Jumeirah village circle,Pantheon Development,PANTHEON ELYSEE,Al Barsha South Fourth,PANDA OWNER ASSOCIATION MANAGEMENT SERVICES L.L.C,0.8824,pantheon elysee iii,pantheon elysee,14.6,2025,False,False,"{'elysee', 'pantheon'}",False,AMBIGUOUS,"similarity=0.8824, area_match=False, dev_match=False, phase_match=False, token_overlap={'elysee', 'pantheon'} — insufficient cross-field support or no meaningful token overlap",AMBIGUOUS
6473,Empire Residences,Jumeirah village circle,Peace Homes Development,DEZIRE RESIDENCES,Al Barsha South Fourth,ADVENTUS OWNERS ASSOCIATION MANAGEMENT L.L.C,0.8824,empire residences,dezire residences,15.39,2026,False,False,set(),False,AMBIGUOUS,"similarity=0.8824, area_match=False, dev_match=False, phase_match=False, token_overlap=set() — insufficient cross-field support or no meaningful token overlap",AMBIGUOUS
5793,AG Tower,Business Bay,Arabian Gulf Properties,G-TOWER,Al Barsha South Fourth,SHEPHERD OAM JOINTLY OWNED MANAGEMENT SERVICES L.L.C,0.9333,ag tower,g tower,15.14,2026,False,False,set(),False,AMBIGUOUS,"similarity=0.9333, area_match=False, dev_match=False, phase_match=False, token_overlap=set() — insufficient cross-field support or no meaningful token overlap",AMBIGUOUS
5513,Canal Residence West,Dubai Sports City,Dubai Sports City LLC,Canal Residence West 2,Al Hebiah Fourth,SPORTS CITY OWNER ASSOCIATION MANAGEMENTSERVICES L.L.C,0.9524,canal residence west,canal residence west 2,16.08,2026,False,False,"{'west', 'canal'}",False,AMBIGUOUS,"similarity=0.9524, area_match=False, dev_match=False, phase_match=False, token_overlap={'west', 'canal'} — insufficient cross-field support or no meaningful token overlap",AMBIGUOUS
7170,AG Tower,Business Bay,Arabian Gulf Properties,G-TOWER,Al Barsha South Fourth,SHEPHERD OAM JOINTLY OWNED MANAGEMENT SERVICES L.L.C,0.9333,ag tower,g tower,15.14,2026,False,False,set(),False,AMBIGUOUS,"similarity=0.9333, area_match=False, dev_match=False, phase_match=False, token_overlap=set() — insufficient cross-field support or no meaningful token overlap",AMBIGUOUS
7622,The Pad by Omniyat,Business Bay,Omniyat,THE OPUS BY OMNIYAT,Business Bay,CLARITY OWNERS ASSOCIATION MANAGEMENT L.L.C,0.8649,the pad by omniyat,the opus by omniyat,38.85,2025,True,False,set(),False,AMBIGUOUS,"similarity=0.8649, area_match=True, dev_match=False, phase_match=False, token_overlap=set() — insufficient cross-field support or no meaningful token overlap",AMBIGUOUS
2381,Mama Residences,Business Bay,Kappa Acca Real Estate Development,Ahad Residences,Business Bay,BETTER COMMUNITIES OWNER ASSOCIATION MANAGEMENT,0.8667,mama residences,ahad residences,20.26,2026,True,False,set(),False,AMBIGUOUS,"similarity=0.8667, area_match=True, dev_match=False, phase_match=False, token_overlap=set() — insufficient cross-field support or no meaningful token overlap",AMBIGUOUS
